charger_station_id,formal_name,power_kw,quantity
1,CCS,· 30 kW,1/1
1,Typ 2,· 22 kW,1
2,Typ 2,· 12.4 kW,2
3,CCS,· 60 kW,3/3
3,Typ 2,· 22 kW,1
3,Typ 2,· 22 kW,2/2
4,Typ 2,· 23 kW,6/8
5,CHAdeMO,· 50 kW,1/2
5,Typ 2,· 22 kW,1
