id,name,address,latitude,longitude,city,post_code,country,continent,iso_code
1,Sant Vicenç dels Horts - ETECNIC Charging Station,"Carrer de Mossèn Jacint Verdaguer, 230, 08620 Sant Vicenç dels Horts, Barcelona, Hiszpania",41.3925608,1.9636962,Catalunya,08620,España,EU,ES
2,ENDESA Charging Station,"Carrer A, 33, 08620 Sant Vicenç dels Horts, Barcelona, Hiszpania",41.3925608,1.9636962,Catalunya,08620,España,EU,ES
3,IONITY Charging Station,"Ronda de Santa Eulàlia, 31, 08780 Pallejà, Barcelona, Hiszpania",41.420511,1.9655741,Barcelona,08780,España,EU,ES
4,ENDESA Charging Station,"Carrer Major, 16, 08759 Vallirana, Barcelona, Hiszpania",41.3890926,1.9080828,Barcelona,08759,España,EU,ES
5,Electric Vehicle Charging Station,"08620 Sant Vicenç dels Horts, Barcelona, Hiszpania",41.4033426,1.9656179,Catalunya,08620,España,EU,ES
6,ENDESA Charging Station,"Avinguda Onze de Setembre, 1, 08970 Sant Joan Despí, Barcelona, Hiszpania",41.3744881,2.0081742,Catalunya,08980,España,EU,ES
